35590_s_at,725_i_at,41117_s_at,37905_r_at,37226_at,34457_at,33069_f_at,33021_at,39332_at,33870_at,38447_at,39586_at,36223_at,36783_f_at,36338_at,32545_r_at,37231_at,38414_at,33322_i_at,32815_at,32407_f_at,38687_at,37317_at,36605_at,36611_at,34757_at,731_f_at,36630_at,35152_at,31510_s_at,36683_at,32557_at,36514_at,36303_f_at,38229_at,40590_at,36567_at,886_at,1464_at,37250_at,37898_r_at,34089_at,38638_at,33233_at,40921_at,32362_r_at,1176_at,33275_at,34093_at,39684_at,37946_at,34600_s_at,35911_r_at,32007_at,1415_at,35001_at,34108_g_at,41506_at,38982_at,41387_r_at,36001_at,31715_at,38426_at,40672_at,33768_at,40453_s_at,37095_r_at,40008_at,39500_s_at,36696_at,34148_at,31812_at,41003_at,38991_at,40036_at,40089_at,32274_r_at,2041_i_at,39335_at,33080_s_at,31317_r_at,37969_at,34467_g_at,35019_at,715_s_at,33778_at,41619_at,36765_at,40770_f_at,40322_at,36737_at,38630_at,1408_at,826_at,34573_at,35896_at,34736_at,31810_g_at,33986_r_at,34966_at,class
-0.68013,-0.62846,-0.67652,-0.93077,-0.57119,-0.82785,-0.75845,-0.48783,-0.7774,-0.81567,-0.81245,-0.63161,-0.90396,-0.91919,-0.85904,-0.87056,-0.73266,-0.77092,-0.92794,-0.62016,-0.733,-0.93378,-0.75344,-0.79954,-1.00091,-0.93511,-0.66707,-0.84004,-0.99079,-0.94823,-0.72614,-0.97181,-0.76059,-0.98417,-0.96208,-0.50464,-0.80547,-1.00697,-0.83296,-0.96859,-0.92101,-0.89456,-0.73804,-0.55432,-0.52064,-0.90672,-0.73608,-0.97137,-0.79808,-0.89445,-0.61676,-0.826,-0.86197,-0.78355,-0.76163,-0.82054,-0.93245,-0.80234,-1.08461,-0.81856,-0.79392,-0.60144,-0.99879,-0.8835,-0.83384,-1.01051,-0.84768,-0.67084,-0.82697,-0.86104,-0.17757,-0.76987,-0.86369,-1.0018,-0.9425,-0.83931,-0.73771,-0.56597,-0.84415,-0.98184,-0.72833,-0.71815,-0.79273,-0.90354,-0.80631,-0.94092,-0.82209,-0.65923,-0.95522,-0.80575,-0.82626,-0.74095,-0.59313,-0.95224,-0.84808,-0.63173,-0.62879,-0.70561,-0.67757,-0.71237,after Th
-0.83938,-0.63839,-0.73718,-0.98074,-0.78706,-0.75826,-0.71121,-0.60904,-0.77311,-0.88878,-0.89145,-0.62171,-0.91057,-0.97253,-0.86776,-0.8968,-0.73656,-0.77508,-0.92258,-0.6514,-0.69021,-0.97163,-0.91068,-0.95328,-1.05921,-0.85434,-0.59349,-0.77346,-0.86765,-1.01101,-0.76228,-0.85348,-0.768,-0.96673,-0.92238,-0.50634,-0.57105,-0.78553,-0.82351,-0.9518,-0.87327,-0.79362,-0.61008,-0.75192,-0.57308,-0.98369,-0.77466,-0.84895,-0.91656,-0.81148,-0.7262,-0.90233,-0.85492,-0.73278,-0.98638,-0.7911,-0.85857,-0.87935,-0.84167,-0.82855,-0.74523,-0.69826,-0.85412,-0.56873,-0.96171,-0.87642,-0.8792,-0.64229,-0.70665,-0.83636,-0.8548,-0.73933,-0.95391,-0.84918,-0.85672,-0.73376,-0.89055,-0.55183,-0.83878,-0.73686,-0.75189,-0.78261,-0.87573,-1.00476,-0.81625,-0.94621,-0.89795,-0.7348,-0.81001,-0.61976,-0.84378,-0.82109,-0.55782,-0.84485,-0.96102,-0.69045,-0.77629,-0.73549,-0.74907,-0.64445,after Th
-0.2901,-0.32021,-0.50492,0.82017,0.66361,-0.12124,-0.22215,-0.61377,-0.1348,0.17743,0.02469,-0.45951,-0.53497,-0.04938,-0.41866,0.7299,-0.01059,-0.30826,1.22874,-0.2658,-0.05777,1.09098,0.05485,-0.82217,1.20559,-0.61903,-0.53366,0.06197,-0.43314,0.05858,-0.60925,-0.30145,-0.0797,0.4027,0.20196,-0.43832,-0.15532,0.70578,0.025,-0.06941,-0.32147,0.67319,-0.57569,0.02902,0.12195,0.28146,-0.31336,-0.03294,0.53135,0.46398,0.19362,-0.67496,0.35852,-0.09313,0.07573,0.00064,-0.0542,0.40859,0.95108,0.24948,0.01849,-0.52548,0.14432,0.45523,0.14572,1.5924,0.18719,-0.47332,-0.30094,-0.12901,-0.76538,-0.51854,0.66048,0.14054,0.81757,-0.13877,0.68972,-0.57809,-0.08632,-0.09545,0.00055,-0.45317,0.10531,1.47896,0.94459,0.81791,0.52053,0.46968,0.03156,-0.05153,0.01088,0.06112,-0.39538,-0.41247,0.0328,-0.04338,0.60777,0.23932,1.03727,0.0585,after Th
-0.96062,-0.56125,-0.82959,-0.93448,-0.73372,-0.8994,-0.62549,-0.56843,-0.71034,-0.86584,-0.85594,-0.61647,-0.8653,-0.99435,-0.98532,-0.72874,-0.95309,-0.80517,-1.01426,-0.67249,-0.69726,-0.80558,-0.83977,-0.84412,-0.94665,-0.62105,-0.60685,-1.03663,-0.82965,-1.0078,-0.78045,-0.85101,-0.67314,-1.05821,-0.93609,-0.49681,-0.8125,-0.87977,-0.79468,-0.86855,-0.94668,-0.95398,-0.519,-0.74318,-0.7017,-0.72321,-0.84332,-0.86714,-0.84985,-0.69751,-0.56658,-0.8692,-0.88827,-0.69434,-0.91717,-0.77444,-0.65065,-0.71988,-0.82792,-0.7615,-0.60022,-0.70718,-1.00303,-1.04938,-1.00277,-1.06123,-0.76447,-0.68563,-0.88891,-0.8313,-0.83527,-0.83485,-0.7925,-0.94596,-0.89274,-0.88611,-1.05851,-0.54421,-0.81841,-0.79121,-0.77855,-0.67406,-0.78343,-0.86734,-0.80569,-0.85562,-0.8547,-0.67074,-0.89182,-0.83712,-0.9137,-0.65425,-0.53321,-0.75159,-0.97747,-0.62846,-0.92427,-0.76196,-0.62878,-0.66434,after Th
-0.75875,-0.60804,-0.67213,-0.91419,-0.65476,-0.64938,-0.8113,-0.66685,-0.71406,-0.92051,-0.90262,-0.5983,-0.88287,-0.97307,-0.83467,-0.98592,-0.73609,-0.78058,-0.96908,-0.5742,-0.66567,-0.89337,-0.78747,-0.63683,-1.03685,-0.97332,-0.74423,-0.51367,-0.96417,-1.01563,-0.66745,-0.85232,-0.7094,-0.95213,-0.86927,-0.51238,-0.79256,-0.77655,-0.65266,-0.88588,-0.95469,-0.88933,-0.64083,-0.83497,-0.58117,-0.83929,-0.69091,-0.85912,-0.91534,-0.9531,-0.76144,-0.80217,-0.9931,-0.82886,-0.77373,-0.80661,-0.82189,-0.81698,-0.90984,-0.57682,-0.63789,-0.74097,-0.88621,-0.78926,-0.85076,-0.77901,-0.92915,-0.47259,-0.69049,-0.80261,-0.49671,-0.76604,-0.91477,-0.97429,-0.94179,-0.75769,-1.01874,-0.63576,-0.81107,-0.70554,-0.92093,-0.47272,-0.62904,-0.85973,-1.13226,-0.86692,-0.92377,-0.72452,-0.93591,-0.56449,-0.70213,-0.70854,-0.52263,-0.90753,-0.88723,-0.61911,-0.93854,-0.82179,-0.60992,-0.62445,after Th
0.13714,-0.43826,-0.3112,-0.02601,-0.27962,0.42735,-0.48405,-0.01907,-0.20696,0.19654,0.18031,-0.42627,-0.20422,0.71289,0.55782,-0.00864,0.25447,0.19727,0.44357,-0.41793,0.28669,0.4955,0.31417,1.20854,0.79201,-0.20169,0.12424,0.40535,-0.00728,0.5439,0.17479,-0.08951,-0.05166,0.61982,0.39197,-0.35915,0.19051,0.35331,0.19556,1.11249,0.71007,0.35095,-0.2714,-0.65056,-0.39109,0.59466,0.17813,0.54253,0.23993,0.34367,-0.16192,0.4028,0.82977,0.18926,0.40392,0.24537,-0.12845,-0.35227,0.47834,-0.41485,-0.03038,0.18588,0.35131,0.67286,0.23075,0.5764,0.36166,-0.43745,-0.10469,1.13319,-0.63089,0.43785,0.62957,0.26392,0.09573,0.2242,1.44237,-0.40524,-0.35745,0.07556,-0.11021,0.12958,0.20359,0.75184,0.28873,0.59705,0.20573,0.19226,0.13362,-0.32812,0.2692,-0.10244,-0.43873,-0.02922,0.352,-0.2485,-0.30526,-0.76914,0.00033,0.26588,after Th
-0.88937,-0.63637,-0.67618,-0.92133,-0.77371,-0.77,-0.81149,-0.60087,-0.734,-0.89312,-0.89514,-0.60581,-0.86413,-0.66037,-0.8565,-0.9154,-0.71438,-0.58716,-1.03968,-0.56783,-0.77083,-0.94216,-0.77257,-0.85435,-1.01763,-0.73493,-0.57093,-0.65871,-0.93343,-1.01692,-0.70045,-0.9411,-0.71601,-0.92467,-0.84789,-0.50905,-0.80907,-0.88948,-0.95026,-0.98447,-0.91624,-0.86113,-0.75873,-0.70047,-0.679,-0.83564,-0.78601,-0.94335,-0.89054,-0.76015,-0.5818,-0.83891,-0.88361,-0.73306,-1.02149,-0.77253,-0.79984,-0.82272,-0.96062,-0.7771,-0.7453,-0.63984,-0.93249,-0.80869,-0.98878,-0.96352,-0.89739,-0.57801,-0.82115,-0.94154,-0.71439,-0.81518,-0.95303,-1.0018,-0.82731,-0.77941,-0.93521,-0.51889,-0.67904,-0.88789,-0.8329,-0.48752,-0.79928,-0.87712,-0.83367,-0.89216,-0.83568,-0.68822,-0.85047,-0.77789,-0.7947,-0.72679,-0.60524,-0.80516,-0.96773,-0.73158,-0.88176,-0.77483,-0.7043,-0.70264,after Th
0.12018,-0.54139,-0.38696,-0.21013,-0.10133,0.20076,-0.34343,-0.3107,-0.41458,0.4192,0.37414,-0.52487,0.02406,0.48427,0.1028,-0.11829,-0.45766,-0.44699,0.33525,-0.14857,-0.26244,-0.21761,-0.49127,-0.54029,0.35126,-0.53762,-0.60622,0.8674,-0.08521,-0.19651,-0.25244,0.1794,-0.17342,0.1106,-0.0057,-0.49379,-0.66488,-0.14202,0.00796,0.63138,0.01645,0.02134,-0.29428,-0.36408,-0.24627,-0.03365,0.11265,0.1075,-0.13709,0.46807,-0.15053,-0.05087,-0.26769,-0.07299,0.00338,0.48247,-0.07873,0.02959,0.49343,0.4784,-0.2718,-0.43075,0.42537,0.00127,-0.14696,0.42127,-0.2772,-0.69148,-0.63819,0.33394,-0.06031,-0.36038,-0.27938,0.11969,0.7589,-0.5056,0.16765,-0.00956,-0.3061,-0.03649,-0.33082,0.20036,0.13611,0.2913,0.39342,0.42971,-0.45703,-0.14891,-0.12863,-0.4106,-0.09246,-0.34735,-0.09105,-0.1143,0.0245,0.04759,-0.06734,-0.32337,0.03383,-0.30895,after Th
-0.9187,-0.62393,-0.75786,-0.88835,-0.7499,-0.80414,-0.71715,-0.59097,-0.77432,-0.80876,-0.93694,-0.64334,-0.84697,-0.8541,-0.88792,-0.73483,-0.94585,-0.91823,-0.96828,-0.67027,-0.65644,-0.93563,-0.7825,-0.57668,-0.90644,-0.78089,-0.67628,-0.57509,-0.88309,-0.83996,-0.74151,-0.88996,-0.72981,-0.93414,-0.95607,-0.50154,-0.69651,-0.7806,-0.91675,-1.02646,-0.95456,-0.87285,-0.65978,-0.63613,-0.66666,-0.85315,-0.6824,-0.92111,-0.91743,-0.82579,-0.68679,-0.67488,-0.82055,-0.74197,-0.84828,-0.90231,-0.78769,-0.82597,-0.87151,-0.82495,-0.77067,-0.7102,-0.85266,-0.82249,-1.02462,-0.74052,-0.89157,-0.7622,-0.77259,-0.88923,-0.73911,-0.94337,-0.84783,-0.94295,-0.86308,-0.9543,-0.90526,-0.57115,-0.82934,-1.00949,-0.83722,-0.70373,-0.81157,-0.73383,-0.84044,-0.67246,-0.85106,-0.79228,-0.82574,-0.69467,-0.78929,-0.73738,-0.55845,-0.8985,-0.90804,-0.68185,-0.98404,-0.9035,-0.66192,-0.72083,after Th
-0.75623,-0.61032,-0.75568,-0.83236,-0.75435,-0.78375,-0.72238,-0.53824,-0.72077,-0.81395,-0.73471,-0.62801,-0.64005,-0.90631,-0.9097,-0.79942,-0.59827,-0.03939,-0.83879,-0.5163,-0.66461,-0.99074,-0.68444,-0.72836,-0.96771,-0.76688,-0.60302,-0.609,-0.92331,-0.97342,-0.74527,-0.6303,-0.80289,-0.95397,-0.79976,-0.47179,-0.69112,-0.79244,-0.68777,-0.96895,-0.80048,-0.82429,-0.60294,-0.56264,-0.57971,-0.80038,-0.59525,-0.93826,-0.832,-0.97796,-0.52752,-0.76297,-0.81949,-0.70977,-0.81726,-0.56545,-0.80659,-0.72715,-1.02234,-0.79172,-0.73313,-0.52179,-0.79378,-0.65879,-0.79919,-1.01783,-0.78872,-0.5294,-0.67529,-0.81212,-0.83735,-0.87959,-0.94365,-0.87767,-0.7374,-0.82505,-0.76647,-0.61936,-0.83294,-0.82609,-0.64075,-0.54454,-0.70101,-0.77123,-0.85241,-0.80638,-0.60588,-0.69655,-0.8841,-0.46181,-0.80518,-0.77504,-0.41489,-0.81385,-0.8736,-0.67306,-0.57192,-0.71441,-0.65286,-0.59535,after Th
-0.84406,-0.61315,-0.74851,-0.95607,-0.77165,-0.78136,-0.80683,-0.68362,-0.70775,-0.86951,-0.94341,-0.59925,-0.87826,-1.04063,-0.83047,-0.64447,-0.60022,-0.79061,-1.01144,-0.66372,-0.71278,-0.91314,-0.74953,-0.88335,-1.05901,-0.91622,-0.68133,-0.86111,-0.96257,-1.00626,-0.78086,-0.86786,-0.6476,-1.02361,-0.96658,-0.50929,-0.6894,-0.87344,-0.81096,-0.86849,-0.83609,-0.88801,-0.75115,-0.51037,-0.58277,-0.82508,-0.66368,-0.9249,-0.77973,-0.91576,-0.74773,-0.77842,-0.85857,-0.73855,-1.01343,-0.78629,-0.75821,-0.78991,-0.92109,-0.79576,-0.7925,-0.66927,-1.02405,-0.80715,-0.90077,-0.99912,-0.61401,-0.7603,-0.81802,-0.85053,-0.69268,-0.72818,-0.90735,-0.91104,-0.83264,-0.97347,-0.95132,-0.55974,-0.80367,-0.68876,-0.66374,-0.48454,-0.85166,-1.04161,-0.66299,-0.83047,-0.79078,-0.80292,-0.83446,-0.72752,-0.88681,-0.75327,-0.60652,-0.84761,-0.96835,-0.71289,-0.64345,-0.80589,-0.64333,-0.68454,after Th
-0.92057,-0.60738,-0.77499,-0.95064,-0.61811,-0.76817,-0.7084,-0.67863,-0.74751,-0.85427,-0.9141,-0.65293,-0.88081,-0.96349,-0.97113,-0.78561,-0.85304,-0.89441,-1.00874,-0.57458,-0.69243,-0.86663,-0.81526,-0.45001,-0.89942,-0.77877,-0.63786,-0.85624,-0.84577,-0.82808,-0.79671,-0.87259,-0.83219,-0.94199,-0.84712,-0.50712,-0.71491,-0.90787,-0.98864,-0.87751,-0.83609,-0.899,-0.66532,-0.85147,-0.72161,-0.80038,-0.64098,-0.86395,-0.94899,-0.79544,-0.78083,-0.79887,-0.85649,-0.67593,-1.01096,-0.51254,-0.86757,-0.85266,-0.93752,-0.75577,-0.79978,-0.67702,-0.77542,-0.97076,-1.00464,-0.89338,-0.76117,-0.73629,-0.79231,-1.0176,-0.8064,-0.83123,-0.8917,-0.8468,-0.76101,-0.67639,-0.90662,-0.51637,-0.74709,-0.77752,-0.84243,-0.70514,-0.84187,-0.85092,-0.91161,-0.82879,-0.83946,-0.74601,-0.92625,-0.6503,-0.81572,-0.66559,-0.51077,-0.86683,-1.0061,-0.72719,-0.87665,-0.65991,-0.81114,-0.72729,after Th
-0.06341,-0.37401,-0.22587,-0.06517,0.2143,-0.13882,-0.15801,-0.53832,-0.29971,0.44066,0.27686,-0.55364,-0.23702,0.40517,-0.47078,-0.14383,0.61356,-0.06863,0.3893,-0.1283,-0.56996,0.18681,0.54675,-0.90882,1.00023,0.16035,-0.49761,0.47577,0.82874,0.49071,-0.05269,0.67678,1.71406,0.56288,0.17981,-0.10395,-0.71834,0.70239,-0.03894,1.07423,0.19871,0.50027,-0.86337,0.11111,-0.11698,0.49893,0.09972,1.39053,0.2418,-0.77048,0.00313,-0.34566,0.05591,0.07873,-0.13402,-0.55318,0.02201,0.70809,0.95371,0.60443,-0.03714,-0.49156,0.3478,-0.31333,0.72046,0.33441,-0.3391,-0.66586,0.15898,0.47766,-0.66963,0.73336,0.45817,0.1991,0.22078,-0.01592,-0.00146,-0.20706,-0.21998,0.64322,0.62189,-0.56678,0.17271,0.49276,0.69984,-0.09529,-0.39682,0.13174,-0.20554,-0.24324,-0.09083,1.13353,-0.44906,-0.36241,-0.05201,0.36612,0.41207,-0.20238,-0.41932,-0.06359,after Th
-0.85963,-0.58407,-0.84259,-0.85587,-0.6814,-0.88898,-0.72698,-0.46787,-0.77335,-0.88406,-0.89361,-0.59477,-0.99657,-0.95129,-0.8452,-0.92597,-0.93193,-0.8194,-1.05808,-0.60549,-0.60373,-0.83858,-0.73537,-0.75588,-0.97434,-0.86665,-0.70933,-0.66474,-0.92457,-0.9193,-0.67839,-0.91222,-0.53553,-1.00373,-0.93558,-0.45537,-0.65197,-0.8858,-0.6361,-0.95168,-0.87096,-0.93575,-0.6882,-0.76648,-0.546,-0.86436,-0.61511,-0.9374,-0.85067,-0.59259,-0.74729,-0.9084,-0.89725,-0.6784,-0.87971,-0.78124,-0.87184,-0.84185,-0.96888,-0.89532,-0.71323,-0.5882,-0.91936,-0.76829,-0.87215,-0.92929,-0.75192,-0.55561,-0.76894,-0.89879,-0.7523,-0.79693,-0.7624,-0.96531,-1.01556,-0.84062,-0.96722,-0.57175,-0.58728,-0.7217,-0.79304,-0.66373,-0.84593,-0.81102,-1.04692,-0.69992,-0.67996,-0.70971,-0.85297,-0.59245,-0.81956,-0.64216,-0.58982,-0.73245,-0.94022,-0.73224,-0.83346,-0.75405,-0.59335,-0.61757,after Th
-0.88065,-0.62787,-0.78635,-0.93507,-0.79143,-0.81536,-0.65613,-0.68199,-0.70989,-0.80002,-0.87488,-0.64303,-0.93848,-0.91345,-0.87883,-0.86771,-0.7773,-0.93428,-0.90637,-0.57504,-0.61147,-0.91853,-0.82561,-0.66435,-0.93793,-0.76327,-0.72006,-0.95363,-0.95894,-0.99025,-0.82772,-0.86151,-0.79913,-0.96523,-0.86301,-0.50533,-0.69946,-0.85623,-0.89363,-0.9512,-0.90821,-0.89983,-0.71734,-0.73791,-0.68418,-0.76273,-0.62283,-0.83809,-0.86616,-0.93029,-0.53695,-0.68664,-0.97607,-0.74315,-0.57632,-0.88407,-0.77696,-0.81832,-0.81717,-0.76493,-0.65321,-0.67875,-0.73444,-0.87824,-0.81771,-0.77499,-0.82631,-0.77158,-0.82437,-0.77676,-0.64491,-0.73351,-0.8975,-0.97591,-0.85863,-0.86947,-0.93681,-0.63279,-0.75117,-0.84314,-0.92589,-0.5699,-0.69461,-0.78253,-0.92103,-0.94044,-0.76627,-0.81048,-0.82254,-0.65408,-0.79034,-0.73278,-0.57732,-0.87627,-0.8325,-0.57629,-0.88918,-0.68676,-0.66741,-0.50754,after Th
0.20925,-0.20289,0.09722,0.09848,-0.82654,0.83657,-0.13854,-0.53961,0.2624,0.44946,-0.02366,0.23229,-0.57893,-0.17029,0.89867,0.51368,0.88688,-0.14093,0.66933,-0.39679,0.83099,0.68187,1.35937,0.14685,0.30749,0.1924,-0.39584,-0.14755,0.32742,0.50426,0.53549,0.52815,0.45182,-0.31416,0.30434,-0.284,0.93041,0.42533,-0.01067,0.9434,0.50734,0.66813,0.37594,0.22079,0.36261,0.14559,-0.30473,0.41735,0.58835,0.66232,0.41544,-0.59524,0.09402,0.68987,0.73193,-0.12053,-0.03282,-0.81755,0.47129,0.78774,0.11914,0.00461,0.13762,0.23406,0.03673,0.46988,0.29994,0.47577,0.43689,0.56711,0.93586,0.20307,1.05658,0.42511,0.85247,0.74068,-0.09752,-0.41061,0.92125,0.05479,-0.07016,-0.46596,1.00925,0.45122,-0.17921,0.85104,0.48249,0.61003,1.80706,0.33716,0.41219,-0.04942,-0.31047,1.31489,0.79711,-0.41502,0.83172,0.51434,1.00889,-0.39116,after Th
-0.85669,-0.63749,-0.01057,-0.93461,-0.80119,-0.8858,-0.73049,-0.64629,-0.80252,-0.86081,-0.96118,-0.65685,-0.96632,-1.06848,-0.93759,-0.69424,-0.85127,-0.81569,-0.93586,-0.6606,-0.69872,-0.92169,-0.78039,-0.75099,-1.08517,-0.9315,-0.64732,-0.79985,-1.02448,-0.94048,-0.80907,-0.85311,-0.65205,-1.00451,-1.03444,-0.50107,-0.78299,-0.78626,-0.88857,-0.94182,-1.04414,-0.94405,-0.57132,-0.63558,-0.56763,-0.90063,-0.70238,-0.83938,-0.95376,-0.74314,-0.7456,-0.70662,-0.9304,-0.80126,-0.93358,-0.97297,-0.89044,-0.7944,-1.06524,-1.01846,-0.83777,-0.67111,-0.87089,-0.89667,-0.9987,-1.0469,-0.82012,-0.63848,-0.79752,-0.9078,-0.75313,-0.97632,-0.89811,-0.95164,-1.03774,-0.90398,-0.92046,-0.64379,-0.76163,-0.98289,-0.78435,-0.70811,-0.89856,-1.03226,-0.94302,-0.96877,-0.87482,-0.6854,-0.92121,-0.67687,-0.92383,-0.79588,-0.58701,-0.79362,-1.05523,-0.61425,-0.81003,-0.83296,-0.76372,-0.7129,after Th
-0.96017,-0.58513,-0.77465,-0.8137,-0.53796,-0.69255,-0.74415,-0.67812,-0.70152,-0.95025,-0.94814,-0.65325,-0.69538,-0.92508,-0.7351,-0.86794,-0.97907,-0.76694,-1.07429,-0.62042,-0.74544,-0.84936,-0.58975,-0.99614,-0.91317,-0.57424,-0.44308,-0.82736,-0.87941,-0.91908,-0.7204,-0.93601,-0.969,-0.59329,-0.98009,-0.4996,-0.83106,-1.00292,-0.78503,-1.04474,-0.92107,-0.80795,-0.43083,-0.61145,-0.6863,-0.77557,-0.80326,-0.89464,-0.90875,-0.72173,-0.63118,-0.56765,-0.69459,-0.72995,-0.94285,-0.75146,-0.78244,-0.82061,-0.9073,-0.43891,-0.75914,-0.71955,-0.83065,-0.83992,-0.85803,-1.07262,-0.84702,-0.5865,-0.71369,-0.81768,-0.63598,-0.99656,-0.85634,-0.99809,-1.0371,-0.66483,-0.78184,-0.6346,-0.67639,-0.86675,-0.66007,-0.77652,-0.74384,-0.90126,-0.98921,-0.8736,-0.8087,-0.6929,-1.01471,-0.70012,-0.75308,-0.78954,-0.57159,-0.75301,-0.91455,-0.6379,-0.77591,-0.75664,-0.64764,-0.7585,after Th
-0.92403,-0.61868,-0.72741,-1.02137,-0.78929,-0.86208,-0.74319,-0.6093,-0.82428,-0.83343,-1.02792,-0.55118,-0.9258,-0.93979,-0.99649,-0.85914,-0.70333,-0.80692,-1.01446,-0.6557,-0.68393,-0.8754,-0.8198,-0.69834,-0.98945,-0.75956,-0.72933,-0.86108,-0.87723,-0.99646,-0.78912,-0.93548,-0.74873,-0.93481,-0.98051,-0.50169,-0.5104,-0.93266,-0.84935,-0.94152,-1.01959,-0.91901,-0.68528,-0.70616,-0.61622,-0.86184,-0.63905,-0.95102,-0.86466,-0.92383,-0.75272,-0.88465,-0.85462,-0.72913,-0.93086,-0.91235,-0.88122,-0.86729,-0.96957,-0.71518,-0.77073,-0.78215,-0.9596,-0.97103,-0.99115,-1.02376,-0.85723,-0.7786,-0.92531,-0.92942,-0.71927,-0.8742,-0.93144,-0.97064,-0.8196,-0.8993,-0.93776,-0.61775,-0.80183,-0.86087,-0.81584,-0.66373,-0.84137,-0.91583,-0.95815,-0.92837,-0.84722,-0.78812,-0.90374,-0.77466,-0.85886,-0.77152,-0.41566,-0.91522,-1.02056,-0.68905,-0.84561,-0.83895,-0.66924,-0.74517,after Th
0.50439,-0.43739,-0.10582,0.42254,-0.42373,0.18813,-0.27111,-0.35397,-0.42716,0.36955,0.31652,-0.48885,-0.27864,0.36208,0.15419,0.2281,0.14069,-0.17748,0.85432,-0.29937,-0.04323,0.58422,0.41952,-0.03054,0.31657,-0.55068,0.34759,0.08633,-0.00816,0.59554,-0.72784,0.05329,0.26074,-0.32837,0.02639,-0.44491,0.42339,0.55665,1.08817,0.20904,0.10772,0.74656,1.07064,-0.20989,-0.67422,-0.48483,-0.2901,0.88273,0.15051,1.58856,0.41143,1.17378,0.65322,-0.15372,1.21555,0.25051,-0.03867,-0.77364,0.30976,0.42014,-0.48057,-0.16749,0.32758,-0.05974,0.26115,0.43973,0.23234,-0.61549,-0.04171,0.17432,0.4385,0.36116,0.49009,-0.24673,0.76542,0.07702,-0.4815,-0.11634,-0.68807,0.5041,0.1768,-0.35614,-0.80883,0.10778,0.44242,0.4476,0.37106,-0.58643,0.0235,0.3379,0.45422,-0.05506,-0.48782,0.28499,0.66664,-0.67801,0.8349,0.18815,0.05974,0.03216,after Th
