X95735_at,M84526_at,M23197_at,M27891_at,M31523_at,M92287_at,U05259_rna1_at,X59417_at,M11722_at,X17042_at,D88270_at,L09209_s_at,M16038_at,M84371_rna1_s_at,M63138_at,U46499_at,M89957_at,M22960_at,J05243_at,M31211_s_at,M55150_at,M62762_at,X16546_at,M19507_at,U50136_rna1_at,U29175_at,M96326_rna1_at,S50223_at,X61587_at,X82240_rna1_at,Y08612_at,M28170_at,Z49194_at,M11147_at,U22376_cds2_s_at,HG1612-HT1612_at,M32304_s_at,X97267_rna1_s_at,Z15115_at,D88422_at,X52056_at,J03473_at,D49950_at,X14008_rna1_f_at,X66401_cds1_at,X62654_rna1_at,M33680_at,M31303_rna1_at,M29696_at,L47738_at,M83652_s_at,Y07604_at,M81695_s_at,J03801_f_at,Y00787_s_at,M19045_f_at,X64072_s_at,D26156_s_at,U07139_at,X15414_at,L09717_at,L06797_s_at,S76617_at,M65214_s_at,X51521_at,X62320_at,U82759_at,M91432_at,X69111_at,L42379_at,U10485_at,U77948_at,M93056_at,AF009426_at,M12959_s_at,D14664_at,D10495_at,L41559_at,U46751_at,D86967_at,X78669_at,M27504_s_at,L21954_at,L11669_at,HG3494-HT3688_at,U10868_at,X70297_at,L07633_at,M28130_rna1_s_at,U94855_at,L13278_at,D63880_at,X07743_at,X74262_at,X12447_at,X67951_at,U62136_at,S46622_at,U73737_at,L33930_s_at,class
-0.6205,-0.5591,-0.3412,-0.4915,0.3465,0.6527,2.1432,-0.0469,0.2067,-1.0238,-0.0515,-0.0028,-0.5176,1.6782,-0.5978,-0.6355,0.8504,-0.639,0.0497,0.7732,-0.6417,-0.9396,-0.6097,-0.5157,-0.2369,1.0116,-0.4242,0.3247,-0.5657,2.2754,1.1818,1.432,3.4405,-0.859,0.2001,0.4186,-0.8037,0.2519,2.4598,-0.4198,-0.6315,0.9899,-0.579,-0.7161,0.7753,-0.4578,0.1605,0.6718,1.3698,-0.2388,-0.5555,-0.8853,-0.0723,-0.6608,-0.5193,-0.8073,-0.6933,0.8441,-0.8924,1.4238,-0.9614,1.1611,-0.5858,1.6656,0.5848,-0.4918,0.1262,0.3554,0.7157,-1.1638,-0.4585,0.3473,-0.8448,0.0885,0.0393,-0.6675,-0.8366,-0.7814,-0.5724,2.2126,1.7532,2.2261,-0.2607,-0.3658,-0.4245,0.0756,-0.0514,0.1777,-0.3929,0.4535,1.1316,0.4915,-0.4425,0.592,-1.4384,0.2755,0.0693,1.4023,-0.0831,1.9191,ALL
-0.6154,-0.4973,-0.691,-0.3178,-0.1475,-0.1635,-0.651,0.1255,-0.3201,0.0269,-0.6909,-0.5154,-0.1913,-0.7867,-0.2619,-0.509,-0.8464,-0.1215,0.6542,0.166,0.4109,1.1039,-0.3604,-0.5293,-0.3087,-0.471,-0.4936,0.653,-0.1593,-0.6285,0.2195,-0.8723,-0.5817,1.0208,-0.7572,-0.0228,0.0589,-0.3712,-0.5236,-0.222,0.0061,-0.6399,-0.0501,-0.1374,-0.0281,-0.3697,0.0833,0.137,-0.5987,2.9645,-0.141,0.6121,0.1264,0.2426,0.3869,0.0604,0.2543,-0.3722,0.4414,-0.1328,-0.0018,-0.0968,-0.7221,0.0251,-0.052,-0.2716,-0.6563,0.4444,-0.753,0.1551,-0.5723,0.5739,-0.0264,0.3515,0.196,-0.3316,0.0265,-0.8055,-0.5359,0.716,0.832,-0.0097,0.1349,-0.0122,0.453,-1.0539,-0.3846,1.01,0.0696,0.4596,-0.529,0.2064,-0.3838,0.3591,-0.5106,-0.7818,0.9303,-0.1056,-0.2213,-0.6551,ALL
-0.6143,-0.5908,-0.2363,-0.4996,-0.4998,0.7108,-0.7395,1.9434,0.0478,-0.9473,-0.553,-0.7248,-0.8413,-0.4385,-0.0916,-0.5537,-1.1867,-0.7659,2.1224,0.5757,0.4159,-1.1461,-0.5137,-0.5421,0.0802,-0.2714,-0.3428,2.5805,-0.3965,-0.6665,-0.5746,0.301,-0.7772,-0.7427,0.8929,1.5403,0.0555,0.056,0.0242,-0.3985,-1.3534,-0.7316,-0.8825,-0.4054,0.1771,-0.8865,-0.7718,2.9377,0.2475,2.73,-0.6873,-0.1403,0.123,-0.1273,-0.5251,-0.1035,-0.3136,0.6191,0.546,1.6074,-0.9897,-0.3204,-0.4424,0.9932,0.4302,-0.5074,0.9058,1.8311,-0.4507,-0.8902,-0.2628,0.4606,-0.8692,0.4113,-0.4206,-0.8823,-1.12,-0.2352,-0.483,0.1323,0.3448,-0.1286,-0.3245,-1.5699,-0.5019,0.8827,-0.1202,1.2503,-0.4757,-1.1563,1.1828,0.2848,-0.588,1.6438,-1.0677,-0.6173,0.1194,0.3995,-0.1823,-0.6541,ALL
-0.3956,-0.5829,-0.2822,-0.5914,0.7257,0.8982,0.8135,0.2934,-0.3465,-0.955,1.0037,-0.3459,0.1224,0.757,-0.6998,-0.5834,0.5151,-0.3657,-0.303,0.3014,-0.2049,-0.8483,-0.6522,-0.5346,-0.4476,-0.2869,-0.4075,1.0991,-0.8928,0.4155,0.6891,1.2523,-0.1568,-0.5987,1.3381,-0.063,-0.1864,1.1845,0.5469,-0.4564,-0.3794,1.3152,0.8214,-0.559,-0.1729,-0.6856,2.0758,0.64,2.6994,-0.0181,-0.4561,-0.6729,-0.2354,-0.5912,-0.5359,-0.5519,-0.7047,-0.6366,0.0543,-0.0179,-1.1967,0.0674,1.7226,1.2617,0.4003,-0.5534,0.1746,0.4765,-0.5422,-1.0954,2.3019,1.3907,-0.4541,0.1125,0.7647,-0.1554,0.0775,-0.7734,-0.5259,-0.6552,0.497,1.0131,-0.47,-0.3906,-0.7092,0.3912,0.3893,-0.0174,-0.4697,-0.3767,0.086,2.8258,-0.3371,0.1943,-0.9401,0.6898,-0.1221,0.671,0.6932,0.2515,ALL
-0.3842,-0.3967,-0.0483,-0.5555,0.3488,0.1272,0.8268,0.8831,-0.2345,1.4709,0.4616,-0.2205,-0.1132,0.5808,-0.6495,-0.5611,1.3832,0.1012,-0.1047,0.9927,-0.5111,-0.1814,0.3102,-0.3745,-0.4638,-0.468,-0.3963,1.2001,0.0808,0.5728,1.6397,0.6604,0.4202,-0.2919,0.3755,-0.367,-1.1369,0.8268,0.1646,-0.3383,0.0645,1.9168,-0.2362,-0.0835,-0.0281,0.6827,1.6439,0.4962,0.597,-0.1312,-0.2804,-0.5846,-0.7738,0.0008,-0.5627,-0.0842,-0.3949,-0.0748,-0.0346,1.1629,-0.4628,0.7402,3.0166,0.1041,0.1948,-0.2044,-0.6534,1.5965,-0.6018,0.1076,2.3386,1.0563,0.4267,1.0927,0.4903,-0.0783,0.1444,0.3029,-0.3033,-0.5659,1.2888,0.9465,0.262,0.179,-0.2905,-0.4542,-0.4948,0.8197,-0.4331,1.111,1.1418,1.4323,-0.1756,0.5895,0.0757,1.3433,2.142,1.0253,1.3986,-0.0744,ALL
-0.6496,-0.4902,-0.785,-0.349,-0.2774,0.0247,-0.8542,0.4511,-0.083,-0.8894,-0.7614,-0.6339,-0.5969,-0.7244,-0.4348,-0.6776,-0.8438,-0.7724,2.0938,-0.1924,-0.5797,-1.2466,-0.2791,-0.5106,-0.5634,0.3539,-0.4028,0.2742,-0.4902,-0.6693,-0.5399,-0.2751,-0.5913,-0.7325,0.2984,0.4759,-0.4282,-0.1002,-0.5831,-0.4017,-1.0726,-0.9318,-0.9903,0.0192,0.0185,-0.9591,-0.7521,1.3756,0.1606,1.5367,-0.1056,-0.1688,-0.0452,-0.0344,-0.5406,-0.1431,0.1873,0.8268,0.818,0.3906,-1.1214,-0.6427,-0.5106,0.4651,-0.3152,-0.4069,-0.5737,-0.2821,-0.534,-1.224,-0.6467,-0.4256,-0.9287,0.758,-0.3176,-0.4637,-0.1868,-0.2754,-0.9201,-0.4281,-0.881,-0.0334,-0.7681,-1.328,-0.2204,-0.9254,-0.8253,0.0353,-0.4632,-0.5868,0.1373,0.2385,-0.7308,0.5102,-0.8753,-0.5385,-0.0628,-0.9953,-0.7778,-0.6456,ALL
-0.7606,-0.5826,-0.7281,-0.5798,-0.0913,0.3385,0.7579,1.015,-0.6428,-0.9515,-0.2172,-0.6504,-0.568,1.101,-0.1114,-0.5599,0.2436,-0.2893,-0.3774,-0.2949,-0.3087,-1.0045,-0.7206,-0.5371,-0.3041,-0.5825,-0.4169,0.0722,-1.0076,-0.6461,-0.679,0.8136,-0.5841,-0.9649,0.6005,0.3964,-0.3403,-0.2277,0.3407,-0.4689,-0.5592,0.7647,-0.1872,-0.6429,-0.3379,-0.773,1.3687,0.3417,-0.2358,-0.6402,-0.2451,-1.2324,-0.3084,-0.6233,-0.5507,-0.5869,-0.681,-0.7562,0.2165,0.1641,-1.1402,0.7751,1.5445,1.0045,0.2347,-0.3769,1.0993,0.3498,-0.6522,-0.8439,2.1269,0.647,-0.4492,-0.1505,-0.6185,-0.3206,0.1014,1.3712,-0.3697,-0.6878,-0.1349,0.4185,0.0742,-0.57,-0.5493,1.1871,-0.1395,-0.4774,-0.4412,-0.5124,0.9778,1.1259,-0.5426,0.5511,-0.5017,1.4355,-0.3726,-0.2941,0.6081,-0.6178,ALL
-0.9127,-0.6648,-0.3631,-0.5821,1.0453,0.0694,0.394,-0.4456,0.4562,-1.0357,-0.3109,-1.0225,-0.67,0.0933,-0.3952,-0.5611,0.6254,-1.1952,0.0859,-0.4631,0.3356,-0.4938,-0.7058,-0.5658,0.3928,-0.5515,-0.3371,0.5014,-1.0028,1.3101,0.7123,0.5758,0.7075,-0.4709,0.9903,0.572,1.0229,0.1898,1.4121,-0.4383,-0.6129,1.5606,-1.0,-0.4143,0.0512,-0.7436,-0.0969,0.9269,-0.0696,1.3408,-0.5841,-0.0237,0.9229,-0.425,-0.4972,-0.3861,-0.7258,-0.0544,-0.1078,0.4026,0.1488,2.1742,-0.5788,1.6385,0.7232,-0.553,-0.2864,0.3271,0.2817,-0.7234,-0.7022,1.1349,-1.0645,1.6785,-0.1895,-0.1939,-0.8477,-0.2513,-0.4749,0.3519,0.7483,1.9835,-0.7303,-0.648,-0.6256,-0.1408,0.5766,-0.7114,-0.4742,-0.5506,0.3013,-0.6952,-0.5746,-0.2962,-1.6191,0.4649,-0.2086,0.098,0.6117,1.3692,ALL
-0.9172,-0.5444,-0.5729,-0.4861,0.4869,1.6527,-0.8074,1.9679,-0.3952,-0.8091,-0.7477,-0.6738,-0.6335,-0.7139,-0.0509,-0.5623,-0.9006,0.2712,4.1493,2.1522,-0.3605,-0.112,-0.8425,-0.5303,-0.4198,1.3119,-0.3313,1.8903,-0.1363,-0.6489,1.1586,-0.5393,-0.5672,-0.2267,0.6703,2.2664,0.5257,0.8819,0.1088,-0.4356,-0.8919,0.0201,-1.2253,-0.3387,-0.5746,-0.466,0.1471,2.9264,2.5174,2.2679,0.009,1.3407,0.0143,-0.2568,-0.499,-0.2026,0.0519,0.3752,3.2242,0.8025,-0.1147,-0.4799,0.3966,-0.0155,2.8711,-0.3005,-0.2579,2.2663,-0.3344,-1.0432,-0.6975,0.4423,0.2851,0.1722,3.2001,-0.7831,-1.0181,-0.8216,-0.7959,1.1261,0.9386,0.2853,-0.7339,-0.6363,-0.374,-0.0191,-0.156,0.7506,-0.442,1.242,1.1828,0.9548,-0.5213,3.3435,0.6109,0.1123,0.7025,0.4146,-0.317,-0.6218,ALL
-0.5101,-0.4891,-0.5467,-0.4594,-0.6813,-0.1729,-0.7538,0.878,-0.5285,-0.7304,-0.6304,-0.7083,-0.796,-1.0157,-0.4344,-0.6107,-0.8521,-0.8864,2.1701,1.3255,-0.2551,-0.6172,-0.4102,-0.4619,-0.1779,-0.2668,-0.5415,-0.1635,-0.4911,-0.6439,-1.1543,-0.9515,-0.6203,-0.9104,-0.4971,0.9339,0.4546,-0.667,-0.7939,-0.3684,-0.7621,-1.0283,-0.7846,-0.388,-0.256,-0.6619,-0.6126,1.483,-0.4472,0.233,-0.65,0.3129,-0.3815,-0.4958,-0.4851,-0.332,-0.586,-0.1378,0.2112,0.5073,-0.5851,-0.6213,-0.6025,0.332,0.8159,-0.4169,0.1717,-0.2897,1.8255,-0.9343,-0.3371,-0.9537,-0.6778,-0.557,0.327,-0.7776,-0.448,-0.2111,-0.283,0.3519,-0.0816,-0.5234,-0.6481,-1.3398,-0.276,-0.8239,-0.2827,0.6117,-0.4783,-0.4053,-0.7545,1.0795,-0.5653,0.203,0.7404,-0.6354,-0.1448,-0.7465,-0.3879,-0.6347,ALL
-0.8045,-0.522,-0.6057,-0.6033,-0.4764,1.1853,-0.8989,1.4432,-0.5896,-0.6507,-0.7484,-0.7427,-0.9346,-0.8658,-0.5754,-0.5747,-0.8802,-0.8176,1.9126,1.8559,-0.5982,0.0059,-0.534,-0.5221,-0.8134,1.6152,-0.4318,1.0528,-0.6633,-0.6617,1.0369,-0.7507,-0.3982,-0.7631,0.0787,0.7401,-0.4367,-0.6785,-0.247,-0.4773,-0.8511,-1.0998,-0.9413,-0.6421,-1.2458,-0.6685,-0.2683,0.3563,0.1019,1.9354,-0.7522,0.1768,-0.4698,-0.6486,-0.3484,-0.6493,-0.6559,1.3445,0.8337,-0.186,-0.3311,-0.1989,-0.8515,-0.1125,2.2605,-0.555,-0.1213,-0.2027,-0.7057,-1.1255,-0.3437,0.2194,-0.0947,-0.031,1.0053,-0.7886,-0.7649,-0.5886,-0.8934,0.6877,1.1746,-0.219,-0.7405,-0.8222,-0.5638,-1.0043,-0.3378,0.0559,-0.4198,1.0865,-0.4777,0.4737,-0.5733,0.0729,-0.4674,-0.1963,-0.7143,0.0376,0.002,-0.6347,ALL
-0.5579,-0.4673,-0.2844,-0.5238,-0.6438,-0.4164,-0.1178,-0.9643,-0.0635,0.6004,-0.5049,-0.7868,-0.4747,-0.2127,-0.4682,-0.6491,-0.0892,-0.5142,-0.7912,-0.2034,-1.0466,-0.7615,-0.6818,-0.2922,-0.6734,-1.0979,-0.3381,-0.4244,0.0435,-0.5698,-1.1253,-0.2222,-0.4513,0.6949,-1.0304,-0.7832,0.0267,-0.6963,-0.8177,-0.3526,-0.5314,-0.852,-1.2449,0.2093,-0.4966,-0.4619,-0.2974,-0.3475,-0.6857,-0.8334,-0.2479,-1.2653,-0.4137,-0.1841,0.0866,0.15,-0.8386,-1.148,-0.4844,-0.9343,-0.3499,0.3051,-0.3645,-1.0242,0.0407,-0.5566,-0.9493,-0.9519,0.2498,-0.4104,-0.7088,-1.2187,-0.2305,-1.3101,0.235,-0.238,0.2081,0.1262,-0.5503,-0.6068,-0.5612,-0.4092,-0.6496,-0.1643,-0.2152,-0.7743,-0.5058,-0.8935,0.0155,-0.2096,-1.0723,-0.7843,-0.0235,-0.8488,-0.3134,-0.5231,-0.7826,-0.6485,-0.7282,-0.6128,ALL
-0.3779,-0.5084,-0.5795,-0.5574,1.1061,2.9664,0.7343,1.9514,2.2846,-0.3098,1.9546,-0.319,-0.6234,0.1608,-0.8268,-0.6144,1.2819,-0.7831,0.2575,1.0183,-0.819,-0.3486,-0.7261,-0.5211,-0.7208,0.6092,-0.5284,1.4904,-0.6059,0.7048,0.463,-0.2064,0.722,-0.7385,0.9907,2.0274,0.0031,0.79,1.4409,-0.474,0.0747,0.4812,-0.3048,-0.8405,1.833,-0.3917,0.8429,1.2835,-0.0091,-0.2595,-0.4848,-0.9063,-0.7177,-0.8875,-0.5585,-0.8536,-0.4648,0.841,-0.0189,1.271,0.0359,2.3407,1.2801,0.3975,1.0916,-0.3121,-0.7445,0.6449,0.2704,-0.3351,0.265,0.2377,-0.5264,1.1286,-0.3654,-0.6124,-0.6678,-0.5645,-0.4862,2.6385,0.162,0.309,-0.4934,-0.2683,-0.4276,1.1736,-0.5829,1.4673,-0.4684,2.1458,0.8958,0.4701,-0.2664,0.9042,-0.2737,0.8516,1.5862,2.8499,1.6219,1.6454,ALL
-0.5852,-0.5186,-0.5948,-0.4063,-0.3956,-0.473,-0.8963,-0.5796,-0.7561,-0.2724,-0.7531,-0.534,-0.2354,-0.9629,-0.2575,0.5324,-0.8209,0.3142,0.5245,-0.4558,0.2,-0.8876,-0.4952,-0.5098,-0.5379,-0.3039,-0.4148,1.5957,0.1076,-0.6333,0.5963,0.153,-0.5575,0.3478,-0.5568,-0.4425,-0.7107,2.3429,0.145,-0.3424,-0.6602,-0.2241,-0.6083,0.0932,0.8269,-0.3199,-0.6179,-0.3104,1.3645,1.0194,-0.0178,-1.4972,0.4966,0.0048,-0.5625,0.0676,0.3563,-0.0748,-0.8401,0.1383,-0.9426,-0.903,0.3048,-0.8053,-0.5594,-0.3501,-0.4571,0.0508,-0.2131,-0.7477,-0.626,0.541,-0.8399,0.7221,2.1156,-0.3922,-0.2617,0.4073,-0.353,-0.94,0.1544,-0.2427,-0.3377,-0.3971,-0.4349,-0.5196,-0.3571,0.203,-0.4668,-0.1107,1.0803,0.9833,-0.6107,1.432,-0.7104,-0.5369,0.9166,-0.4524,0.0233,-0.589,ALL
-0.2561,-0.535,-0.7347,-0.5289,1.8119,2.3938,0.9637,1.759,1.1577,-0.3978,1.1893,-0.5843,0.0985,0.9691,-0.3684,-0.633,1.2315,-0.2797,0.147,1.8595,-1.0884,-0.5094,-0.6374,-0.4713,-0.9419,1.0952,-0.4681,1.5999,-0.407,2.3355,1.9586,1.2946,0.512,-0.3724,1.263,0.3788,-0.2067,2.448,1.2649,-0.4351,0.374,1.3878,0.2339,-0.6947,3.499,-0.3982,1.7396,0.353,1.7063,1.0497,-0.3797,-0.0237,-0.6872,-0.7992,-0.5742,-0.7123,-0.3057,1.1085,0.4152,1.5508,-0.4722,1.0178,1.7797,1.1714,0.8201,-0.3281,-0.7103,1.5852,-0.3787,-0.2957,3.0602,2.1801,-0.1553,2.862,1.5461,-0.5298,-0.1948,-1.0866,-0.1263,-0.6427,0.9005,1.9739,0.3248,0.2271,-0.5204,-0.5669,-0.5939,2.7287,-0.4454,1.9814,1.3776,3.0966,-0.4519,1.3638,0.5226,2.4858,1.7457,1.6436,2.228,1.5818,ALL
-0.3073,-0.5078,-0.4702,-0.5355,0.4857,0.0899,0.2617,1.2501,1.3407,-0.6862,0.6158,-0.8227,-0.6133,0.6969,-0.4142,-0.6528,0.9683,-0.6766,0.8582,1.0109,-0.553,-1.1607,-0.4121,0.0457,-0.5831,1.7762,-0.4751,0.1858,-0.8106,-0.4632,-0.2036,1.2364,1.8953,-1.1266,0.7884,0.0205,-1.1521,1.0852,1.167,-0.4328,-0.6723,1.6547,-1.0392,-0.6952,0.405,-0.5346,0.527,0.2602,0.3967,0.2206,-0.5755,-1.6468,-0.5292,-0.6455,-0.5726,-0.7387,-0.6677,1.5837,0.4728,1.4924,-0.3311,0.1934,1.2509,1.0902,-0.4551,-0.5146,-0.8014,0.5484,0.0636,-0.7037,2.3349,1.1824,-0.5674,1.7024,4.4965,-0.9318,-0.491,-0.685,-0.7323,1.0994,0.3219,0.2853,-0.4848,-1.0823,-0.6236,-0.4722,0.0285,0.2872,-0.4501,0.5769,1.6134,0.2028,-0.5413,0.9054,-0.1943,0.5959,0.4838,0.015,-0.4056,1.4159,ALL
